Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Samanthawills,Chrome 63.0.3239.132,,2018-01-17 15:28:43,2018-01-17 15:29:13,30.216s,PASSED
,,,,,,
Test Cases/Homepage,Chrome 63.0.3239.132,,2018-01-17 15:28:44,2018-01-17 15:29:12,28.732s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-17 15:28:44,2018-01-17 15:29:09,24.581s,PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-01-17 15:29:09,2018-01-17 15:29:10,1.200s,PASSED
verifyElementVisible,Chrome 63.0.3239.132,,2018-01-17 15:29:10,2018-01-17 15:29:10,0.252s,PASSED
verifyAllLinksOnCurrentPageAccessible,Chrome 63.0.3239.132,,2018-01-17 15:29:10,2018-01-17 15:29:10,0.002s,NOT_RUN
verifyElementPresent,Chrome 63.0.3239.132,,2018-01-17 15:29:10,2018-01-17 15:29:10,0.079s,PASSED
scrollToPosition,Chrome 63.0.3239.132,,2018-01-17 15:29:10,2018-01-17 15:29:10,0.040s,PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-01-17 15:29:10,2018-01-17 15:29:10,0.123s,PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-01-17 15:29:10,2018-01-17 15:29:10,0.132s,PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-01-17 15:29:10,2018-01-17 15:29:10,0.085s,PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-01-17 15:29:10,2018-01-17 15:29:10,0.048s,PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-01-17 15:29:10,2018-01-17 15:29:11,0.170s,PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-01-17 15:29:11,2018-01-17 15:29:11,0.105s,PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-01-17 15:29:11,2018-01-17 15:29:11,0.041s,PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-01-17 15:29:11,2018-01-17 15:29:11,0.104s,PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-01-17 15:29:11,2018-01-17 15:29:11,0.107s,PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-01-17 15:29:11,2018-01-17 15:29:11,0.189s,PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-01-17 15:29:11,2018-01-17 15:29:11,0.100s,PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-01-17 15:29:11,2018-01-17 15:29:11,0.066s,PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-01-17 15:29:11,2018-01-17 15:29:11,0.037s,PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-01-17 15:29:11,2018-01-17 15:29:11,0.040s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-01-17 15:29:11,2018-01-17 15:29:12,0.791s,PASSED
